Timestamp,X,Y,Z
2025-05-14T12:48:36.542Z,-0.95,1.29,9.13
2025-05-14T12:48:36.574Z,-4.89,1.61,10.76
2025-05-14T12:48:36.609Z,-9.31,3.26,13.15
2025-05-14T12:48:36.643Z,-9.16,6.39,13.57
2025-05-14T12:48:36.675Z,-1.86,3.91,12.86
2025-05-14T12:48:36.709Z,-3.02,5.58,15.99
2025-05-14T12:48:36.741Z,0.22,7.28,10.98
2025-05-14T12:48:36.773Z,0.76,8.1,7.92
2025-05-14T12:48:36.805Z,-1.25,6.62,8.29
2025-05-14T12:48:36.839Z,-3.21,7.45,7.6
2025-05-14T12:48:36.872Z,-4.57,9.25,7.06
2025-05-14T12:48:36.905Z,-5.53,9.99,7.69
2025-05-14T12:48:36.940Z,-6.77,11.81,7.75
2025-05-14T12:48:36.973Z,-8.03,14.08,7.36
2025-05-14T12:48:37.007Z,-11.29,12.99,7.34
2025-05-14T12:48:37.041Z,-10.23,11.37,6.12
2025-05-14T12:48:37.073Z,-9.06,9,5
2025-05-14T12:48:37.108Z,-9.13,6.73,6.24
2025-05-14T12:48:37.142Z,-12.32,6.22,10.7
2025-05-14T12:48:37.173Z,-9.73,3.63,2.98
2025-05-14T12:48:37.208Z,-11.45,2.42,5.3
2025-05-14T12:48:37.241Z,-11.08,1.06,4.64
2025-05-14T12:48:37.274Z,-10.18,0.73,3.42
2025-05-14T12:48:37.308Z,0.01,-1.13,11.54
2025-05-14T12:48:37.341Z,3.43,-10.02,16.75
2025-05-14T12:48:37.373Z,-3.4,3.21,11.02
2025-05-14T12:48:37.406Z,-4.93,1.34,12.22
2025-05-14T12:48:37.441Z,-2.72,3.75,8.9
2025-05-14T12:48:37.472Z,-2.51,3,9.59
2025-05-14T12:48:37.506Z,-2.49,1.88,9.62
2025-05-14T12:48:37.539Z,-2.57,1.62,9.47
2025-05-14T12:48:37.572Z,-2.48,1.54,9.35
2025-05-14T12:48:37.607Z,-2.53,1.22,9.28
2025-05-14T12:48:37.641Z,-2.5,1.2,9.25
2025-05-14T12:48:37.674Z,-2.51,1.47,9.08
2025-05-14T12:48:37.708Z,-2.51,1.62,9.11
2025-05-14T12:48:37.739Z,-2.49,1.73,9.07
